ticker,fiscal_year,roe,source
ADVANC,2001,0.111396,sec
ADVANC,2002,0.247588,sec
ADVANC,2003,0.333792,sec
ADVANC,2008,0.222783,sec
ADVANC,2009,0.232320,sec
ADVANC,2010,0.364357,sec
ADVANC,2011,0.554441,sec
ADVANC,2012,0.844560,sec
ADVANC,2013,0.814222,sec
ADVANC,2014,0.779108,sec
ADVANC,2015,0.823163,sec
ADVANC,2016,0.674396,sec
ADVANC,2017,0.647608,sec
ADVANC,2018,0.551070,sec
ADVANC,2019,0.491999,sec
ADVANC,2020,0.378849,sec
ADVANC,2021,0.342384,sec
ADVANC,2022,0.310791,sec
ADVANC,2023,0.330025,sec
ADVANC,2024,0.373540,sec
ADVANC,2025,0.468556,sec
AEONTS,2002,0.377826,sec-prior
AEONTS,2003,0.346820,sec
AEONTS,2004,0.359071,sec
AEONTS,2005,0.349496,sec
AEONTS,2006,0.305537,sec
AEONTS,2007,0.305158,sec
AEONTS,2008,0.273195,sec
AEONTS,2009,0.237625,sec
AEONTS,2010,0.175282,sec
AEONTS,2011,0.158659,sec
AEONTS,2012,0.025539,sec
AEONTS,2013,0.252328,sec
AEONTS,2014,0.309512,sec
AEONTS,2015,0.249875,sec
AEONTS,2016,0.012328,sec
AEONTS,2017,0.185941,sec
AEONTS,2018,0.201684,sec
AEONTS,2019,0.207542,sec
AEONTS,2020,0.205011,sec
AEONTS,2021,0.195293,sec
AEONTS,2022,0.192334,sec
AEONTS,2023,0.178653,sec
AEONTS,2024,0.137810,sec
AEONTS,2025,0.113229,sec
AEONTS,2026,0.116221,sec
AMATA,2001,0.145119,sec
AMATA,2002,0.122246,sec
AMATA,2003,0.281425,sec
AMATA,2004,0.270385,sec
AMATA,2005,0.314614,sec
AMATA,2006,0.183355,sec
AMATA,2007,0.228016,sec
AMATA,2008,0.228283,sec
AMATA,2009,0.055947,sec
AMATA,2010,0.145888,sec
AMATA,2011,0.162619,sec
AMATA,2012,0.172535,sec
AMATA,2013,0.193141,sec
AMATA,2014,0.241312,sec
AMATA,2015,0.114264,sec
AMATA,2016,0.103667,sec
AMATA,2017,0.115046,sec
AMATA,2018,0.079789,sec
AMATA,2019,0.128937,sec
AMATA,2020,0.074299,sec
AMATA,2021,0.084041,sec
AMATA,2022,0.125940,sec
AMATA,2023,0.094530,sec
AMATA,2024,0.117112,sec
AMATA,2025,0.138895,sec
AOT,2004,0.099210,sec
AOT,2005,0.120508,sec-rescaled
AOT,2006,0.153132,sec
AOT,2007,0.015546,sec
AOT,2008,0.100298,sec
AOT,2009,0.008468,sec
AOT,2010,0.018678,sec
AOT,2011,0.035140,sec
AOT,2012,0.086793,sec
AOT,2013,0.193206,sec
AOT,2014,0.129574,sec
AOT,2015,0.182157,sec
