respondent,profile,left,right,winner,strength
E01,conservative,momentum,growth,growth,2
E01,conservative,momentum,quality,quality,5
E01,conservative,momentum,health,health,5
E01,conservative,growth,quality,quality,4
E01,conservative,growth,health,health,4
E01,conservative,quality,health,quality,2
E01,balanced,momentum,growth,growth,2
E01,balanced,momentum,quality,quality,3
E01,balanced,momentum,health,health,2
E01,balanced,growth,quality,quality,2
E01,balanced,growth,health,health,2
E01,balanced,quality,health,quality,2
E01,aggressive,momentum,growth,momentum,2
E01,aggressive,momentum,quality,momentum,5
E01,aggressive,momentum,health,momentum,5
E01,aggressive,growth,quality,growth,4
E01,aggressive,growth,health,growth,4
E01,aggressive,quality,health,quality,2
